Location name,Amount spent (HUF)
Baranya County,149527
Borsod-Abaúj-Zemplén County,206423
Budapest,974721
Bács-Kiskun County,147493
Békés County,109326
Csongrád County,192177
Fejér County,153432
Győr-Moson-Sopron County,159756
Hajdú-Bihar County,156599
Heves County,93555
Jász-Nagykun-Szolnok County,117474
Komárom-Esztergom County,150590
Nógrád County,51999
Pest County,375100
Somogy County,98905
Szabolcs-Szatmár-Bereg County,132482
Tolna County,80369
Unknown,117
Vas County,103428
Veszprém County,117755
Zala County,107042
