Location name,Amount spent (CAD)
Alberta,13108
British Columbia,19222
Manitoba,3434
New Brunswick,1838
Newfoundland and Labrador,1120
Northwest Territories,160
Nova Scotia,1657
Nunavut,176
Ontario,26649
Prince Edward Island,280
Quebec,18425
Saskatchewan,1953
Unknown,≤100
Yukon,200
