Location name,Amount spent (EGP)
Al Sharqia Governorate,3527
Alexandria Governorate,1248
Aswan Governorate,206
Asyut Governorate,727
Beheira Governorate,724
Beni Suef Governorate,312
Cairo Governorate,4012
Dakahlia Governorate,1246
Damietta Governorate,360
Faiyum Governorate,298
Gharbia Governorate,1025
Giza Governorate,1392
Ismailia Governorate,883
Kafr el-Sheikh Governorate,522
Luxor Governorate,131
Matrouh Governorate,≤100
Minya Governorate,918
Monufia Governorate,622
New Valley Governorate,≤100
North Sinai Governorate,101
Port Said Governorate,207
Qalyubia Governorate,835
Qena Governorate,336
Red Sea Governorate,114
Sohag Governorate,505
South Sinai Governorate,≤100
Suez Governorate,143
Unknown,≤100
