Location name,Amount spent (ISK)
Capital Region,60306
Eastern Region,8559
Northeastern Region,12401
Northwestern Region,5708
Southern Peninsula,15663
Southern Region,11178
Unknown,≤100
Western Region,7970
Westfjords,6992
