Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,138
Apurímac Region,≤100
Arequipa Region,225
Ayacucho Region,≤100
Cajamarca Region,110
Callao,≤100
Cusco Region,171
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,134
Junín Region,142
La Libertad Region,216
Lambayeque Region,165
Lima Region,3801
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,193
Puno Region,157
San Martín Region,108
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
