Location name,Amount spent (IDR)
Aceh,901184
Bali,2358036
Bangka–Belitung Islands,566583
Banten,3489040
Bengkulu,739929
Central Java,11276785
Central Kalimantan,779126
Central Sulawesi,993521
East Java,12042686
East Kalimantan,1955285
East Nusa Tenggara,1661171
Gorontalo,486836
Jakarta,7129783
Jambi,904393
Lampung,2758167
Maluku,485731
North Kalimantan,326497
North Maluku,351343
North Sulawesi,1808270
North Sumatra,6341042
Papua (province),835699
Riau,2832143
Riau Islands Province,1035209
South Kalimantan,1134865
South Sulawesi,3250247
South Sumatra,3060430
Southeast Sulawesi,782576
Special Region of Yogyakarta,2241364
Unknown,8211
West Java,10811576
West Kalimantan,1729147
West Nusa Tenggara,1466094
West Papua,407150
West Sulawesi,404346
West Sumatra,1458547
