Location name,Amount spent (MXN)
Aguascalientes,4917
Baja California,15670
Baja California Sur,3184
Campeche,31663
Chiapas,10613
Chihuahua,25008
Coahuila de Zaragoza,13761
Colima,8341
Distrito Federal,169935
Durango,3709
Guanajuato,28737
Guerrero,8489
Hidalgo,9628
Jalisco,67621
Michoacán de Ocampo,25226
Morelos,5370
Nayarit,7561
Nuevo León,79614
Oaxaca,7463
Puebla,16725
Querétaro Arteaga,15252
Quintana Roo,7345
San Luis Potosi,11236
Sinaloa,7231
Sonora,11382
State of Mexico,54050
Tabasco,9379
Tamaulipas,19437
Tlaxcala,2694
Unknown,≤100
Veracruz,18864
Yucatán,15879
Zacatecas,3158
