Location name,Amount spent (NZD)
Auckland Region,1770
Bay of Plenty Region,377
Canterbury,698
Gisborne District,≤100
Hawke's Bay,197
Manawatu-Wanganui,261
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,182
Otago,263
Southland,115
Taranaki,125
Tasman District,≤100
Unknown,≤100
Waikato,505
Wellington Region,490
West Coast,≤100
