Location name,Amount spent (DKK)
Capital Region of Denmark,44384
Central Denmark Region,23188
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11063
Region of Southern Denmark,20772
Unknown,≤100
Zealand Region,14106
