Location name,Amount spent (EGP)
Al Sharqia Governorate,2542
Alexandria Governorate,2046
Aswan Governorate,209
Asyut Governorate,565
Beheira Governorate,1105
Beni Suef Governorate,428
Cairo Governorate,6094
Dakahlia Governorate,2272
Damietta Governorate,383
Faiyum Governorate,418
Gharbia Governorate,2368
Giza Governorate,1659
Ismailia Governorate,404
Kafr el-Sheikh Governorate,1185
Luxor Governorate,197
Matrouh Governorate,≤100
Minya Governorate,689
Monufia Governorate,1182
New Valley Governorate,133
North Sinai Governorate,≤100
Port Said Governorate,568
Qalyubia Governorate,1665
Qena Governorate,371
Red Sea Governorate,138
Sohag Governorate,554
South Sinai Governorate,≤100
Suez Governorate,142
Unknown,≤100
