Location name,Amount spent (DKK)
Capital Region of Denmark,51959
Central Denmark Region,28237
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13254
Region of Southern Denmark,26073
Unknown,≤100
Zealand Region,17458
