Location name,Amount spent (PYG)
Alto Paraguay Department,9331
Alto Paraná Department,660913
Amambay Department,96469
Asunción,518665
Boquerón department,90009
Caaguazú Department,314074
Caazapá Department,172205
Canindeyú Department,103623
Central Department,1617922
Concepción Department (Paraguay),118833
Cordillera Department,189045
Guairá Department,111577
Itapúa Department,300280
Misiones Department,92555
Paraguarí Department,113335
Presidente Hayes Department,49107
San Pedro Department,192341
Unknown,≤100
Ñeembucú Department,54772
