Location name,Amount spent (PKR)
Azad Kashmir,1027
Balochistan,1217
Federally Administered Tribal Areas,186
Gilgit-Baltistan,418
Islamabad Capital Territory,3101
Khyber Pakhtunkhwa,6273
Punjab,19667
Sindh,24818
Unknown,≤100
